Symbol,Atomic Number,Atomic Weight,Atomic Radius,Covalent Radius,Valence Electrons,Density,Electronegativity,Melting Point,Boiling Point,Heat Capacity,Specific Heat,Heat of Fusion,Heat of Vaporization,Thermal Conductivity,Electrical Conductivity,First Ionization Potential,Metal Classification,Bulk Modulus,Shear Modulus,Toxic,Radioactive,Price
Rb,37,85.4678,2.475,2.16,1,1.532,0.82,312.2,961,31.06,0.363,2192,72216,0.582,0.0779,4.18,Metal,3.14,1.02,FALSE,FALSE,12000
Sr,38,87.62,2.15,1.92,2,2.54,0.95,1042,1657,26.4,0.3,8300,144000,0.353,0.0762,5.69,Metal,11.6,5.33,FALSE,FALSE,1000
Y,39,88.90585,1.81,1.62,3,4.469,1.22,1795,3611,26.53,0.3,11400,363000,0.172,0.0166,6.5,Metal,36.6,26.3,FALSE,FALSE,50
Zr,40,91.224,1.6,1.45,4,6.506,1.33,2125,4650,25.36,0.27,16900,58200,0.227,0.0236,6.95,Metal,83.3,34.8,FALSE,FALSE,1600
Nb,41,92.90638,1.43,1.34,5,8.57,1.6,2741,5015,24.6,0.26,26400,682000,0.537,0.0693,6.77,Metal,170.2,38.2,FALSE,FALSE,180
Mo,42,95.94,1.36,1.29,6,10.22,2.16,2890,4885,24.06,0.25,32000,598000,1.38,0.187,7.18,Metal,272.5,20,FALSE,FALSE,30
Tc,43,97.9072,1.36,1.27,7,11.5,1.9,2445,5150,,0.21,24000,660000,0.506,0.067,7.28,Metal,297.2,145,FALSE,TRUE,
Ru,44,101.07,1.34,1.24,8,12.37,2.2,2583,4173,24.06,0.238,24000,595000,1.17,0.137,7.36,Metal,348,163,FALSE,FALSE,14000
Rh,45,102.9055,1.34,1.25,9,12.41,2.28,2239,4000,24.98,0.242,21500,493000,1.5,0.211,7.46,Metal,270.5,150,FALSE,FALSE,80000
Pd,46,106.42,1.38,1.28,10,12.02,2.2,1825,3413,25.98,0.24,17600,357000,0.718,0.095,8.33,Metal,180.8,52.1,FALSE,FALSE,58300
