"sample_id","plate_no","generation","read_no","week_no","cocktail_no","human_crystal","class3_crystal","class3_clear","class3_other"
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890688200801181226",2,"C1096",0,0.43875,0.10425,0.457
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890746200801181225",2,"C1291",0,0.44325,0.11225,0.4445
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890276200801181232",2,"C1365",1,0.43875,0.09425,0.467
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890712200801181226",2,"C1102",0,0.45575,0.095,0.44925
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890321200801181231",2,"C0117",0,0.437,0.244,0.319
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891050200801181222",2,"C1223",0,0.456,0.15375,0.39025
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890850200801181224",2,"C1209",0,0.45,0.093,0.457
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890608200801181227",2,"C1004",0,0.45675,0.07625,0.467
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890458200801181229",2,"C1183",0,0.46175,0.0815,0.45675
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890600200801181227",2,"C1002",0,0.4575,0.09575,0.44675
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890862200801181224",2,"C1212",0,0.45775,0.0805,0.46175
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890660200801181227",2,"C1389",0,0.465,0.071,0.464
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891520200801181215",2,"C1532",0,0.4125,0.292,0.2955
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890100200801181234",2,"C1057",0,0.412,0.265,0.323
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890692200801181226",2,"C1097",0,0.4395,0.146,0.4145
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891310200801181217",2,"C1324",0,0.39625,0.29025,0.3135
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890074200801181234",2,"C1159",0,0.4525,0.116,0.4315
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890132200801181233",2,"C1065",0,0.41,0.2905,0.2995
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890524200801181228",2,"C1091",0,0.4205,0.24875,0.33075
